study	tissue	time	px_caf
Spigset1999a	serum	1	0.22
Spigset1999a	serum	1	0.19
Spigset1999a	serum	1	0.18
Spigset1999a	serum	1	0.17
Spigset1999a	serum	1	0.15
Spigset1999a	serum	1	0.15
Spigset1999a	serum	1	0.12
Spigset1999a	serum	1	0.11
Spigset1999a	serum	1	0.18
Spigset1999a	serum	2	0.17
Spigset1999a	serum	2	0.19
Spigset1999a	serum	2	0.21
Spigset1999a	serum	2	0.23
Spigset1999a	serum	2	0.26
Spigset1999a	serum	2	0.28
Spigset1999a	serum	2	0.30
Spigset1999a	serum	2	0.33
Spigset1999a	serum	3	0.22
Spigset1999a	serum	3	0.25
Spigset1999a	serum	3	0.26
Spigset1999a	serum	3	0.30
Spigset1999a	serum	3	0.31
Spigset1999a	serum	3	0.34
Spigset1999a	serum	3	0.32
Spigset1999a	serum	3	0.39
Spigset1999a	serum	3	0.43
Spigset1999a	serum	3	0.47
Spigset1999a	serum	4	0.27
Spigset1999a	serum	4	0.30
Spigset1999a	serum	4	0.33
Spigset1999a	serum	4	0.39
Spigset1999a	serum	4	0.40
Spigset1999a	serum	4	0.47
Spigset1999a	serum	4	0.48
Spigset1999a	serum	4	0.49
Spigset1999a	serum	4	0.61
Spigset1999a	serum	4	0.63
Spigset1999a	serum	5	0.31
Spigset1999a	serum	5	0.41
Spigset1999a	serum	5	0.42
Spigset1999a	serum	5	0.47
Spigset1999a	serum	5	0.48
Spigset1999a	serum	5	0.49
Spigset1999a	serum	5	0.56
Spigset1999a	serum	5	0.57
Spigset1999a	serum	5	0.58
Spigset1999a	serum	5	0.82
Spigset1999a	serum	5	0.83
Spigset1999a	serum	6	0.93
Spigset1999a	serum	6	0.84
Spigset1999a	serum	6	0.72
Spigset1999a	serum	6	0.63
Spigset1999a	serum	6	0.62
Spigset1999a	serum	6	0.59
Spigset1999a	serum	6	0.55
Spigset1999a	serum	6	0.52
Spigset1999a	serum	6	0.49
Spigset1999a	serum	6	0.42
Spigset1999a	serum	6	0.37
Spigset1999a	serum	8	1.43
Spigset1999a	serum	8	1.27
Spigset1999a	serum	8	0.93
Spigset1999a	serum	8	0.86
Spigset1999a	serum	8	0.83
Spigset1999a	serum	8	0.81
Spigset1999a	serum	8	0.74
Spigset1999a	serum	8	0.70
Spigset1999a	serum	8	0.68
Spigset1999a	serum	8	0.60
Spigset1999a	serum	8	0.50
Spigset1999a	serum	8	0.47
Spigset1999a	serum	10	1.66
Spigset1999a	serum	10	1.50
