study	time	omeprazole	omeprazole_SE	omeprazole_cocktail	omeprazole_cocktail_SE
Turpault 2009	0.0	1.3274	NA	0.8850	NA
Turpault 2009	0.5	9.7345	25.2212	0.8850	NA
Turpault 2009	1.0	72.5664	112.3894	50.4425	50.0000
Turpault 2009	2.0	129.6460	109.7345	127.4336	103.0973
Turpault 2009	3.0	104.8673	82.3009	108.8496	93.8053
Turpault 2009	4.0	58.8496	57.0797	47.7876	46.4602
Turpault 2009	5	NA	NA	23.0089	22.1239
Turpault 2009	6.0	15.0442	19.4690	11.5044	10.6195
Turpault 2009	7	NA	NA	1.3274	NA
Turpault 2009	8.0	0.8850	NA	1.3274	NA
Turpault 2009	12.0	0.8850	NA	0.8850	NA

