study	pk	pktype	unit	tissue	interventions	substance_name	individual_pk	value	group_pk	mean	se	cv	sd	time_unit	time	max	min	median
Abernethy1985	4124	vd	l/kg	plasma	208	caffeine	449.0	1.21e+00										
Abernethy1985	4123	vd	l/kg	plasma	208	caffeine	448.0	8.35e-01										
Abernethy1985	4122	vd	l/kg	plasma	208	caffeine	447.0	7.96e-01										
Abernethy1985	4121	vd	l/kg	plasma	208	caffeine	446.0	7.16e-01										
Abernethy1985	4120	vd	l/kg	plasma	208	caffeine	445.0	7.09e-01										
Abernethy1985	4119	vd	l/kg	plasma	208	caffeine	444.0	6.92e-01										
Abernethy1985	4118	vd	l/kg	plasma	208	caffeine	443.0	6.68e-01										
Abernethy1985	4117	vd	l/kg	plasma	208	caffeine	442.0	6.05e-01										
Abernethy1985	4116	vd	l/kg	plasma	208	caffeine	441.0	5.33e-01										
Abernethy1985	4115	vd	l/kg	plasma	208	caffeine	440.0	8.40e-01										
Abernethy1985	4114	vd	l/kg	plasma	208	caffeine	439.0	7.22e-01										
Abernethy1985	4113	vd	l/kg	plasma	208	caffeine	438.0	7.22e-01										
Abernethy1985	4112	vd	l/kg	plasma	208	caffeine	437.0	7.07e-01										
Abernethy1985	4111	vd	l/kg	plasma	208	caffeine	436.0	6.63e-01										
Abernethy1985	4110	vd	l/kg	plasma	208	caffeine	435.0	6.66e-01										
Abernethy1985	4109	vd	l/kg	plasma	208	caffeine	434.0	6.56e-01										
Abernethy1985	4108	vd	l/kg	plasma	208	caffeine	433.0	6.12e-01										
Abernethy1985	4107	vd	l/kg	plasma	208	caffeine	432.0	5.76e-01										
Abernethy1985	4106	clearance	l/h/kg	plasma	208	caffeine	431.0	1.57e-01										
Abernethy1985	4105	clearance	l/h/kg	plasma	208	caffeine	430.0	1.31e-01										
Abernethy1985	4104	clearance	l/h/kg	plasma	208	caffeine	429.0	1.32e-01										
Abernethy1985	4103	clearance	l/h/kg	plasma	208	caffeine	428.0	1.30e-01										
Abernethy1985	4102	clearance	l/h/kg	plasma	208	caffeine	427.0	1.11e-01										
Abernethy1985	4101	clearance	l/h/kg	plasma	208	caffeine	426.0	8.63e-02										
Abernethy1985	4100	clearance	l/h/kg	plasma	208	caffeine	425.0	8.08e-02										
Abernethy1985	4099	clearance	l/h/kg	plasma	208	caffeine	424.0	6.08e-02										
Abernethy1985	4098	clearance	l/h/kg	plasma	208	caffeine	423.0	4.87e-02										
Abernethy1985	4097	clearance	l/h/kg	plasma	208	caffeine	422.0	1.06e-01										
Abernethy1985	4096	clearance	l/h/kg	plasma	208	caffeine	421.0	7.28e-02										
Abernethy1985	4095	clearance	l/h/kg	plasma	208	caffeine	420.0	6.22e-02										
Abernethy1985	4094	clearance	l/h/kg	plasma	208	caffeine	419.0	5.87e-02										
Abernethy1985	4093	clearance	l/h/kg	plasma	208	caffeine	418.0	5.60e-02										
Abernethy1985	4092	clearance	l/h/kg	plasma	208	caffeine	417.0	5.13e-02										
Abernethy1985	4091	clearance	l/h/kg	plasma	208	caffeine	416.0	5.11e-02										
Abernethy1985	4090	clearance	l/h/kg	plasma	208	caffeine	415.0	5.11e-02										
Abernethy1985	4089	clearance	l/h/kg	plasma	208	caffeine	414.0	4.89e-02										
Abernethy1985	4088	thalf	h	plasma	208	caffeine	413.0	9.93e+00										
Abernethy1985	4087	thalf	h	plasma	208	caffeine	412.0	5.94e+00										
Abernethy1985	4086	thalf	h	plasma	208	caffeine	411.0	5.33e+00										
Abernethy1985	4085	thalf	h	plasma	208	caffeine	410.0	5.23e+00										
Abernethy1985	4084	thalf	h	plasma	208	caffeine	409.0	5.02e+00										
Abernethy1985	4083	thalf	h	plasma	208	caffeine	408.0	4.32e+00										
Abernethy1985	4082	thalf	h	plasma	208	caffeine	407.0	4.19e+00										
Abernethy1985	4081	thalf	h	plasma	208	caffeine	406.0	4.14e+00										
Abernethy1985	4080	thalf	h	plasma	208	caffeine	405.0	3.66e+00										
