study	time	paraxanthine	paraxanthine_SE	paraxanthine_cocktail	paraxanthine_cocktail_SE
Turpault 2009	0.0	662.9893	685.4093	544.4840	409.9644
Turpault 2009	0.5	797.5089	499.6442	723.8434	352.3132
Turpault 2009	1.0	909.6085	547.6869	807.1174	320.2847
Turpault 2009	2.0	941.6370	429.1815	858.3630	288.2563
Turpault 2009	3.0	1012.0997	461.2099	900.0000	297.8648
Turpault 2009	4.0	1021.7082	467.6157	912.8114	265.8363
Turpault 2009	5.0	NA	NA	922.4199	313.8790
Turpault 2009	6.0	976.8684	451.6014	890.3915	275.4449
Turpault 2009	7.0	NA	NA	858.3630	259.4306
Turpault 2009	8.0	912.8114	377.9359	781.4947	230.6050
Turpault 2009	12.0	711.0320	339.5018	675.8007	275.4448
Turpault 2009	24.0	291.4591	224.1993	265.8363	185.7651

